"id","calendar_date","week_day","holiday"
46970,2018-09-04,Tuesday,0
46971,2018-09-05,Wednesday,0
46972,2018-09-06,Thursday,0
46973,2018-09-07,Friday,0
46974,2018-09-08,Saturday,0
46975,2018-09-09,Sunday,0
46976,2018-09-10,Monday,0
46977,2018-09-11,Tuesday,0
46978,2018-09-12,Wednesday,0
46979,2018-09-13,Thursday,0
46980,2018-09-14,Friday,0
46981,2018-09-15,Saturday,0
46982,2018-09-16,Sunday,0
46983,2018-09-17,Monday,0
46984,2018-09-18,Tuesday,0
46985,2018-09-19,Wednesday,0
46986,2018-09-20,Thursday,0
46987,2018-09-21,Friday,0
46988,2018-09-22,Saturday,0
46989,2018-09-23,Sunday,0
46990,2018-09-24,Monday,0
46991,2018-09-25,Tuesday,0
46992,2018-09-26,Wednesday,0
46993,2018-09-27,Thursday,0
46994,2018-09-28,Friday,0
46995,2018-09-29,Saturday,0
46996,2018-09-30,Sunday,0
46997,2018-10-01,Monday,0
46998,2018-10-02,Tuesday,0
46999,2018-10-03,Wednesday,0
47000,2018-10-04,Thursday,0
47001,2018-10-05,Friday,0
47002,2018-10-06,Saturday,0
47003,2018-10-07,Sunday,0
47004,2018-10-08,Monday,0
47005,2018-10-09,Tuesday,0
47006,2018-10-10,Wednesday,0
47007,2018-10-11,Thursday,0
47008,2018-10-12,Friday,1
47009,2018-10-13,Saturday,0
47010,2018-10-14,Sunday,0
47011,2018-10-15,Monday,0
47012,2018-10-16,Tuesday,0
47013,2018-10-17,Wednesday,0
47014,2018-10-18,Thursday,0
47015,2018-10-19,Friday,0
47016,2018-10-20,Saturday,0
47017,2018-10-21,Sunday,0
47018,2018-10-22,Monday,0
47019,2018-10-23,Tuesday,0
47020,2018-10-24,Wednesday,0
47021,2018-10-25,Thursday,0
47022,2018-10-26,Friday,0
47023,2018-10-27,Saturday,0
47024,2018-10-28,Sunday,0
47025,2018-10-29,Monday,0
47026,2018-10-30,Tuesday,0
47027,2018-10-31,Wednesday,0
47028,2018-11-01,Thursday,0
47029,2018-11-02,Friday,1
47030,2018-11-03,Saturday,0
47031,2018-11-04,Sunday,0
47032,2018-11-05,Monday,0
47033,2018-11-06,Tuesday,0
47034,2018-11-07,Wednesday,0
47035,2018-11-08,Thursday,0
47036,2018-11-09,Friday,0
47037,2018-11-10,Saturday,0
47038,2018-11-11,Sunday,0
47039,2018-11-12,Monday,0
47040,2018-11-13,Tuesday,0
47041,2018-11-14,Wednesday,0
47042,2018-11-15,Thursday,1
47043,2018-11-16,Friday,0
47044,2018-11-17,Saturday,0
47045,2018-11-18,Sunday,0
47046,2018-11-19,Monday,0
47047,2018-11-20,Tuesday,0
47048,2018-11-21,Wednesday,0
47049,2018-11-22,Thursday,0
47050,2018-11-23,Friday,0
47051,2018-11-24,Saturday,0
47052,2018-11-25,Sunday,0
47053,2018-11-26,Monday,0
47054,2018-11-27,Tuesday,0
47055,2018-11-28,Wednesday,0
47056,2018-11-29,Thursday,0
47057,2018-11-30,Friday,0
47058,2018-12-01,Saturday,0
47059,2018-12-02,Sunday,0
47060,2018-12-03,Monday,0
47061,2018-12-04,Tuesday,0
47062,2018-12-05,Wednesday,0
47063,2018-12-06,Thursday,0
47064,2018-12-07,Friday,0
47065,2018-12-08,Saturday,0
47066,2018-12-09,Sunday,0
47067,2018-12-10,Monday,0
47068,2018-12-11,Tuesday,0
47069,2018-12-12,Wednesday,0
47070,2018-12-13,Thursday,0
47071,2018-12-14,Friday,0
47072,2018-12-15,Saturday,0
47073,2018-12-16,Sunday,0
47074,2018-12-17,Monday,0
47075,2018-12-18,Tuesday,0
47076,2018-12-19,Wednesday,0
47077,2018-12-20,Thursday,0
47078,2018-12-21,Friday,0
47079,2018-12-22,Saturday,0
47080,2018-12-23,Sunday,0
47081,2018-12-24,Monday,0
47082,2018-12-25,Tuesday,1
47083,2018-12-26,Wednesday,0
47084,2018-12-27,Thursday,0
47085,2018-12-28,Friday,0
47086,2018-12-29,Saturday,0
47087,2018-12-30,Sunday,0
47088,2018-12-31,Monday,0
47089,2019-01-01,Tuesday,1
47090,2019-01-02,Wednesday,0
47091,2019-01-03,Thursday,0
47092,2019-01-04,Friday,0
47093,2019-01-05,Saturday,0
47094,2019-01-06,Sunday,0
47095,2019-01-07,Monday,0
47096,2019-01-08,Tuesday,0
47097,2019-01-09,Wednesday,0
47098,2019-01-10,Thursday,0
47099,2019-01-11,Friday,0
47100,2019-01-12,Saturday,0
47101,2019-01-13,Sunday,0
47102,2019-01-14,Monday,0
47103,2019-01-15,Tuesday,0
47104,2019-01-16,Wednesday,0
47105,2019-01-17,Thursday,0
47106,2019-01-18,Friday,0
47107,2019-01-19,Saturday,0
47108,2019-01-20,Sunday,0
47109,2019-01-21,Monday,0
47110,2019-01-22,Tuesday,0
47111,2019-01-23,Wednesday,0
47112,2019-01-24,Thursday,0
47113,2019-01-25,Friday,0
47114,2019-01-26,Saturday,0
47115,2019-01-27,Sunday,0
47116,2019-01-28,Monday,0
47117,2019-01-29,Tuesday,0
47118,2019-01-30,Wednesday,0
47119,2019-01-31,Thursday,0
47120,2019-02-01,Friday,0
47121,2019-02-02,Saturday,0
47122,2019-02-03,Sunday,0
47123,2019-02-04,Monday,0
47124,2019-02-05,Tuesday,0
47125,2019-02-06,Wednesday,0
47126,2019-02-07,Thursday,0
47127,2019-02-08,Friday,0
47128,2019-02-09,Saturday,0
47129,2019-02-10,Sunday,0
47130,2019-02-11,Monday,0
47131,2019-02-12,Tuesday,0
47132,2019-02-13,Wednesday,0
47133,2019-02-14,Thursday,0
47134,2019-02-15,Friday,0
47135,2019-02-16,Saturday,0
47136,2019-02-17,Sunday,0
47137,2019-02-18,Monday,0
47138,2019-02-19,Tuesday,0
47139,2019-02-20,Wednesday,0
47140,2019-02-21,Thursday,0
47141,2019-02-22,Friday,0
47142,2019-02-23,Saturday,0
47143,2019-02-24,Sunday,0
47144,2019-02-25,Monday,0
47145,2019-02-26,Tuesday,0
47146,2019-02-27,Wednesday,0
47147,2019-02-28,Thursday,0
47148,2019-03-01,Friday,0
47149,2019-03-02,Saturday,0
47150,2019-03-03,Sunday,0
47151,2019-03-04,Monday,0
47152,2019-03-05,Tuesday,1
47153,2019-03-06,Wednesday,0
47154,2019-03-07,Thursday,0
47155,2019-03-08,Friday,0
47156,2019-03-09,Saturday,0
47157,2019-03-10,Sunday,0
47158,2019-03-11,Monday,0
47159,2019-03-12,Tuesday,0
47160,2019-03-13,Wednesday,0
47161,2019-03-14,Thursday,0
47162,2019-03-15,Friday,0
47163,2019-03-16,Saturday,0
47164,2019-03-17,Sunday,0
47165,2019-03-18,Monday,0
47166,2019-03-19,Tuesday,0
47167,2019-03-20,Wednesday,0
47168,2019-03-21,Thursday,0
47169,2019-03-22,Friday,0
47170,2019-03-23,Saturday,0
47171,2019-03-24,Sunday,0
47172,2019-03-25,Monday,0
47173,2019-03-26,Tuesday,0
47174,2019-03-27,Wednesday,0
47175,2019-03-28,Thursday,0
47176,2019-03-29,Friday,0
47177,2019-03-30,Saturday,0
47178,2019-03-31,Sunday,0
47179,2019-04-01,Monday,0
47180,2019-04-02,Tuesday,0
47181,2019-04-03,Wednesday,0
47182,2019-04-04,Thursday,0
47183,2019-04-05,Friday,0
47184,2019-04-06,Saturday,0
47185,2019-04-07,Sunday,0
47186,2019-04-08,Monday,0
47187,2019-04-09,Tuesday,0
47188,2019-04-10,Wednesday,0
47189,2019-04-11,Thursday,0
47190,2019-04-12,Friday,0
47191,2019-04-13,Saturday,0
47192,2019-04-14,Sunday,0
47193,2019-04-15,Monday,0
47194,2019-04-16,Tuesday,0
47195,2019-04-17,Wednesday,0
47196,2019-04-18,Thursday,0
47197,2019-04-19,Friday,1
47198,2019-04-20,Saturday,0
47199,2019-04-21,Sunday,1
47200,2019-04-22,Monday,0
47201,2019-04-23,Tuesday,0
47202,2019-04-24,Wednesday,0
47203,2019-04-25,Thursday,0
47204,2019-04-26,Friday,0
47205,2019-04-27,Saturday,0
47206,2019-04-28,Sunday,0
47207,2019-04-29,Monday,0
47208,2019-04-30,Tuesday,0
47209,2019-05-01,Wednesday,1
47210,2019-05-02,Thursday,0
47211,2019-05-03,Friday,0
47212,2019-05-04,Saturday,0
47213,2019-05-05,Sunday,0
47214,2019-05-06,Monday,0
47215,2019-05-07,Tuesday,0
47216,2019-05-08,Wednesday,0
47217,2019-05-09,Thursday,0
47218,2019-05-10,Friday,0
47219,2019-05-11,Saturday,0
47220,2019-05-12,Sunday,0
47221,2019-05-13,Monday,0
47222,2019-05-14,Tuesday,0
47223,2019-05-15,Wednesday,0
47224,2019-05-16,Thursday,0
47225,2019-05-17,Friday,0
47226,2019-05-18,Saturday,0
47227,2019-05-19,Sunday,0
47228,2019-05-20,Monday,0
47229,2019-05-21,Tuesday,0
47230,2019-05-22,Wednesday,0
47231,2019-05-23,Thursday,0
47232,2019-05-24,Friday,0
47233,2019-05-25,Saturday,0
47234,2019-05-26,Sunday,0
47235,2019-05-27,Monday,0
47236,2019-05-28,Tuesday,0
47237,2019-05-29,Wednesday,0
47238,2019-05-30,Thursday,0
47239,2019-05-31,Friday,0
47240,2019-06-01,Saturday,0
47241,2019-06-02,Sunday,0
47242,2019-06-03,Monday,0
47243,2019-06-04,Tuesday,0
47244,2019-06-05,Wednesday,0
47245,2019-06-06,Thursday,0
47246,2019-06-07,Friday,0
47247,2019-06-08,Saturday,0
47248,2019-06-09,Sunday,0
47249,2019-06-10,Monday,0
47250,2019-06-11,Tuesday,0
47251,2019-06-12,Wednesday,0
47252,2019-06-13,Thursday,0
47253,2019-06-14,Friday,0
47254,2019-06-15,Saturday,0
47255,2019-06-16,Sunday,0
47256,2019-06-17,Monday,0
47257,2019-06-18,Tuesday,0
47258,2019-06-19,Wednesday,0
47259,2019-06-20,Thursday,1
47260,2019-06-21,Friday,0
47261,2019-06-22,Saturday,0
47262,2019-06-23,Sunday,0
47263,2019-06-24,Monday,0
47264,2019-06-25,Tuesday,0
47265,2019-06-26,Wednesday,0
47266,2019-06-27,Thursday,0
47267,2019-06-28,Friday,0
47268,2019-06-29,Saturday,0
47269,2019-06-30,Sunday,0
47270,2019-07-01,Monday,0
47271,2019-07-02,Tuesday,0
47272,2019-07-03,Wednesday,0
47273,2019-07-04,Thursday,0
47274,2019-07-05,Friday,0
47275,2019-07-06,Saturday,0
47276,2019-07-07,Sunday,0
47277,2019-07-08,Monday,0
47278,2019-07-09,Tuesday,0
47279,2019-07-10,Wednesday,0
47280,2019-07-11,Thursday,0
47281,2019-07-12,Friday,0
47282,2019-07-13,Saturday,0
47283,2019-07-14,Sunday,0
47284,2019-07-15,Monday,0
47285,2019-07-16,Tuesday,0
47286,2019-07-17,Wednesday,0
47287,2019-07-18,Thursday,0
47288,2019-07-19,Friday,0
47289,2019-07-20,Saturday,0
47290,2019-07-21,Sunday,0
47291,2019-07-22,Monday,0
47292,2019-07-23,Tuesday,0
47293,2019-07-24,Wednesday,0
47294,2019-07-25,Thursday,0
47295,2019-07-26,Friday,0
47296,2019-07-27,Saturday,0
47297,2019-07-28,Sunday,0
47298,2019-07-29,Monday,0
47299,2019-07-30,Tuesday,0
47300,2019-07-31,Wednesday,0
47301,2019-08-01,Thursday,0
47302,2019-08-02,Friday,0
47303,2019-08-03,Saturday,0
47304,2019-08-04,Sunday,0
47305,2019-08-05,Monday,0
47306,2019-08-06,Tuesday,0
47307,2019-08-07,Wednesday,0
47308,2019-08-08,Thursday,0
47309,2019-08-09,Friday,0
47310,2019-08-10,Saturday,0
47311,2019-08-11,Sunday,0
47312,2019-08-12,Monday,0
47313,2019-08-13,Tuesday,0
47314,2019-08-14,Wednesday,0
47315,2019-08-15,Thursday,0
47316,2019-08-16,Friday,0
47317,2019-08-17,Saturday,0
47318,2019-08-18,Sunday,0
47319,2019-08-19,Monday,0
47320,2019-08-20,Tuesday,0
47321,2019-08-21,Wednesday,0
47322,2019-08-22,Thursday,0
47323,2019-08-23,Friday,0
47324,2019-08-24,Saturday,0
47325,2019-08-25,Sunday,0
47326,2019-08-26,Monday,0
47327,2019-08-27,Tuesday,0
47328,2019-08-28,Wednesday,0
47329,2019-08-29,Thursday,0
47330,2019-08-30,Friday,0
47331,2019-08-31,Saturday,0
47332,2019-09-01,Sunday,0
47333,2019-09-02,Monday,0
47334,2019-09-03,Tuesday,0
47335,2019-09-04,Wednesday,0
47336,2019-09-05,Thursday,0
47337,2019-09-06,Friday,0
47338,2019-09-07,Saturday,1
47339,2019-09-08,Sunday,0
47340,2019-09-09,Monday,0
47341,2019-09-10,Tuesday,0
47342,2019-09-11,Wednesday,0
47343,2019-09-12,Thursday,0
47344,2019-09-13,Friday,0
47345,2019-09-14,Saturday,0
47346,2019-09-15,Sunday,0
47347,2019-09-16,Monday,0
47348,2019-09-17,Tuesday,0
47349,2019-09-18,Wednesday,0
47350,2019-09-19,Thursday,0
47351,2019-09-20,Friday,0
47352,2019-09-21,Saturday,0
47353,2019-09-22,Sunday,0
47354,2019-09-23,Monday,0
47355,2019-09-24,Tuesday,0
47356,2019-09-25,Wednesday,0
47357,2019-09-26,Thursday,0
47358,2019-09-27,Friday,0
47359,2019-09-28,Saturday,0
47360,2019-09-29,Sunday,0
47361,2019-09-30,Monday,0
47362,2019-10-01,Tuesday,0
47363,2019-10-02,Wednesday,0
47364,2019-10-03,Thursday,0
47365,2019-10-04,Friday,0
47366,2019-10-05,Saturday,0
47367,2019-10-06,Sunday,0
47368,2019-10-07,Monday,0
47369,2019-10-08,Tuesday,0
47370,2019-10-09,Wednesday,0
47371,2019-10-10,Thursday,0
47372,2019-10-11,Friday,0
47373,2019-10-12,Saturday,1
47374,2019-10-13,Sunday,0
47375,2019-10-14,Monday,0
47376,2019-10-15,Tuesday,0
